epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.092,1.16746,2.79498,1.69992,0.20797,0.21372,0.20445,0.0812,1.95456,3.93189,2.55826,0.000467673,0.000467673,0.000467673
2,654.704,1.14909,2.09628,1.63667,0.47952,0.34631,0.36428,0.14585,2.27312,3.69463,2.88473,0.000925315,0.000925315,0.000925315
3,1101.69,1.15921,2.00343,1.65132,0.39922,0.25556,0.28226,0.10044,2.21294,3.29903,2.9548,0.00136409,0.00136409,0.00136409
4,1386.41,1.13607,1.83548,1.6161,0.49465,0.41111,0.42605,0.19359,1.90356,4.20766,2.67434,0.00134412,0.00134412,0.00134412
5,1820.21,1.12591,1.68904,1.60391,0.37725,0.19444,0.22648,0.08457,2.36965,3.91299,3.56788,0.00131582,0.00131582,0.00131582
6,2286.65,1.16628,1.69731,1.63028,0.49058,0.33697,0.33633,0.13874,2.07398,2.68794,2.55266,0.00128753,0.00128753,0.00128753
7,2794.58,1.08529,1.55701,1.56099,0.88409,0.31667,0.49986,0.176,1.87503,2.40847,2.45272,0.00125923,0.00125923,0.00125923
8,3123.74,1.05647,1.49671,1.54343,0.44712,0.5,0.44298,0.19398,1.95091,2.48519,2.50853,0.00123094,0.00123094,0.00123094
9,3420.24,1.00512,1.41585,1.50375,0.53145,0.55066,0.53531,0.28062,1.95687,2.39915,2.56115,0.00120265,0.00120265,0.00120265
10,3722.06,1.02016,1.3419,1.52947,0.47766,0.64026,0.57083,0.26161,1.91386,2.0668,2.35738,0.00117435,0.00117435,0.00117435
11,4034.12,1.00011,1.29116,1.49058,0.63979,0.52222,0.54465,0.2819,1.6372,2.3904,2.21878,0.00114606,0.00114606,0.00114606
12,4358.71,1.00111,1.26656,1.49913,0.77736,0.62778,0.71353,0.32958,1.79997,2.0446,2.35099,0.00111776,0.00111776,0.00111776
13,4703.64,0.95699,1.23531,1.46591,0.72009,0.55728,0.59592,0.22532,1.99649,2.26224,2.49922,0.00108947,0.00108947,0.00108947
14,4983.99,0.96232,1.21588,1.46967,0.76853,0.56571,0.66045,0.33085,1.99548,1.88264,2.46656,0.00106118,0.00106118,0.00106118
15,5336.97,0.95408,1.17148,1.46349,0.56993,0.45065,0.47813,0.24648,1.91849,2.29826,2.63232,0.00103288,0.00103288,0.00103288
16,5603.91,0.95237,1.18593,1.46969,0.61944,0.52745,0.57038,0.29306,1.69957,2.11012,2.29473,0.00100459,0.00100459,0.00100459
17,5867.66,0.92792,1.11664,1.43299,0.81535,0.60952,0.72525,0.32538,1.69791,1.73616,2.16882,0.000976293,0.000976293,0.000976293
18,6127.44,0.93077,1.13713,1.42676,0.63953,0.60556,0.64917,0.32064,1.75989,2.24056,2.28497,0.000947999,0.000947999,0.000947999
19,6386.08,0.92668,1.09756,1.42705,0.7736,0.61533,0.71288,0.36039,1.8407,1.91108,2.25707,0.000919704,0.000919704,0.000919704
20,6751.47,0.89243,1.05063,1.41628,0.69262,0.73534,0.66945,0.31071,1.69851,1.83542,2.21925,0.00089141,0.00089141,0.00089141
21,7179.31,0.92602,1.05869,1.43018,0.82746,0.68889,0.77396,0.42162,1.72651,1.6063,2.23074,0.000863116,0.000863116,0.000863116
22,7634.89,0.8961,1.04099,1.40007,0.6662,0.66667,0.64514,0.35175,1.72405,1.63866,2.29512,0.000834822,0.000834822,0.000834822
23,8135.25,0.87894,1.0071,1.4029,0.85019,0.6929,0.80142,0.42719,1.63877,1.38042,2.08166,0.000806528,0.000806528,0.000806528
24,8617.89,0.88731,0.99375,1.39111,0.84428,0.84616,0.8302,0.40354,1.63598,1.51854,2.12424,0.000778233,0.000778233,0.000778233
