epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,611.894,1.21353,2.26369,1.71431,0.21707,0.28333,0.21392,0.08116,2.79173,4.10121,3.69037,0.000467673,0.000467673,0.000467673
2,1278.97,1.17299,1.65304,1.63512,0.68285,0.13333,0.10254,0.04691,2.76659,3.74358,3.27412,0.000925315,0.000925315,0.000925315
3,1888.28,1.27259,1.69825,1.71902,0.15635,0.18889,0.08755,0.01591,3.11218,5.60288,3.54191,0.00136409,0.00136409,0.00136409
4,2570.18,1.24022,1.65187,1.70569,0.15677,0.34444,0.11388,0.03583,2.43195,5.34757,3.01787,0.00134412,0.00134412,0.00134412
5,3533.36,1.18435,1.60943,1.62962,0.31923,0.45556,0.34366,0.12262,2.09593,2.71964,2.61616,0.00131582,0.00131582,0.00131582
6,6442.56,1.1402,1.53383,1.61449,0.62204,0.62602,0.58683,0.22989,1.95714,2.05385,2.37446,0.00128753,0.00128753,0.00128753
7,54612.5,1.16034,1.50812,1.62846,0.63464,0.56667,0.57567,0.2869,1.89853,2.19828,2.36132,0.00125923,0.00125923,0.00125923
8,305599,1.10986,1.349,1.58263,0.52118,0.58333,0.50714,0.20367,1.78288,1.91138,2.27438,0.00123094,0.00123094,0.00123094
9,306200,1.10516,1.34496,1.56024,0.53868,0.55976,0.4973,0.27499,1.94847,2.07624,2.43036,0.00120265,0.00120265,0.00120265
10,306767,1.11936,1.35012,1.58602,0.63823,0.56111,0.60169,0.24798,2.0832,1.96543,2.61281,0.00117435,0.00117435,0.00117435
11,307316,1.01606,1.2745,1.50492,0.52456,0.46667,0.48062,0.2218,1.83981,2.48534,2.43986,0.00114606,0.00114606,0.00114606
12,307863,1.02754,1.27683,1.50876,0.73399,0.62249,0.62097,0.30128,1.96313,1.89892,2.56082,0.00111776,0.00111776,0.00111776
13,308421,1.04973,1.22187,1.50204,0.67977,0.557,0.64055,0.32074,1.85559,1.68478,2.35246,0.00108947,0.00108947,0.00108947
14,309063,1.00081,1.18202,1.476,0.51023,0.45,0.42428,0.18408,2.38055,2.29057,2.92707,0.00106118,0.00106118,0.00106118
15,309819,0.98222,1.16827,1.44944,0.60933,0.55228,0.55696,0.301,1.91224,2.2138,2.33111,0.00103288,0.00103288,0.00103288
16,310625,0.96405,1.12327,1.44791,0.52454,0.65766,0.61615,0.31643,1.78421,1.66663,2.23404,0.00100459,0.00100459,0.00100459
17,311623,0.94211,1.09713,1.44163,0.65076,0.72894,0.65123,0.31744,1.72999,1.62799,2.2907,0.000976293,0.000976293,0.000976293
18,312999,0.94471,1.14772,1.43323,0.62451,0.57778,0.58095,0.2889,1.84113,1.75547,2.41355,0.000947999,0.000947999,0.000947999
19,314258,0.94428,1.135,1.45804,0.62137,0.68137,0.63849,0.31199,1.73966,1.74496,2.37346,0.000919704,0.000919704,0.000919704
20,314808,0.90595,1.06855,1.42366,0.57106,0.48539,0.49013,0.26166,1.71202,2.05886,2.25466,0.00089141,0.00089141,0.00089141
21,315599,0.93213,1.04609,1.43214,0.63143,0.63333,0.59067,0.29875,1.9191,1.88718,2.30969,0.000863116,0.000863116,0.000863116
22,317150,0.90447,1.02685,1.40752,0.82902,0.58889,0.72867,0.37565,1.8649,1.68569,2.3608,0.000834822,0.000834822,0.000834822
23,317695,0.89589,0.97398,1.40872,0.57378,0.61667,0.65087,0.35493,1.66473,1.65859,2.24896,0.000806528,0.000806528,0.000806528
24,318236,0.92355,1.06424,1.42578,0.69505,0.73324,0.78125,0.37121,1.70676,1.51728,2.17628,0.000778233,0.000778233,0.000778233
25,319041,0.91179,1.02599,1.39962,0.88471,0.62203,0.76434,0.37192,1.73795,1.41512,2.31774,0.000749939,0.000749939,0.000749939
26,319675,0.85671,0.92883,1.36397,0.80064,0.68103,0.75433,0.39883,1.68626,1.4416,2.10669,0.000721645,0.000721645,0.000721645
27,320220,0.86463,0.91776,1.36691,0.6998,0.79444,0.79856,0.40542,1.71812,1.46081,2.25857,0.000693351,0.000693351,0.000693351
28,320917,0.85222,0.91572,1.38027,0.86812,0.77222,0.83317,0.43032,1.68242,1.27948,2.10471,0.000665057,0.000665057,0.000665057
29,322083,0.88216,0.92933,1.39205,0.87403,0.76111,0.84576,0.41575,1.73934,1.27016,2.18614,0.000636762,0.000636762,0.000636762
30,322695,0.85257,0.86726,1.35699,0.91539,0.83731,0.87658,0.43638,1.72693,1.20475,2.19977,0.000608468,0.000608468,0.000608468
31,323285,0.84344,0.88553,1.36915,0.84654,0.82496,0.85803,0.4495,1.71244,1.35517,2.16734,0.000580174,0.000580174,0.000580174
32,323993,0.83456,0.85309,1.33988,0.75836,0.72788,0.80861,0.39605,1.61685,1.35765,2.09273,0.00055188,0.00055188,0.00055188
33,324794,0.81283,0.86169,1.32935,0.71502,0.69165,0.67175,0.36611,1.63209,1.53858,2.10098,0.000523586,0.000523586,0.000523586
34,326573,0.86585,0.8813,1.36838,0.75265,0.7941,0.81775,0.40278,1.71794,1.36103,2.10217,0.000495291,0.000495291,0.000495291
35,327189,0.8271,0.83861,1.3498,0.71478,0.74844,0.71843,0.40227,1.64884,1.38997,2.06714,0.000466997,0.000466997,0.000466997
36,328090,0.82709,0.83739,1.34743,0.85838,0.84185,0.85882,0.46897,1.62048,1.12624,2.07529,0.000438703,0.000438703,0.000438703
37,328725,0.77738,0.7714,1.3167,0.85717,0.82869,0.84533,0.42501,1.72277,1.12537,2.14712,0.000410409,0.000410409,0.000410409
38,336499,0.79562,0.78163,1.33705,0.89469,0.58889,0.68177,0.29709,1.74125,1.25388,2.21523,0.000382115,0.000382115,0.000382115
39,339324,0.74209,0.71379,1.28733,0.88613,0.87412,0.87879,0.4596,1.52078,1.11098,2.00776,0.00035382,0.00035382,0.00035382
40,340513,0.7625,0.74566,1.29973,0.7125,0.85,0.83314,0.44198,1.5787,1.15825,2.01511,0.000325526,0.000325526,0.000325526
41,341374,0.91496,0.74849,1.51575,0.87842,0.88203,0.88785,0.45688,1.62756,1.11003,2.07871,0.000297232,0.000297232,0.000297232
42,342040,0.86618,0.63187,1.48744,0.82325,0.90917,0.89219,0.48283,1.55637,1.11804,1.95979,0.000268938,0.000268938,0.000268938
43,344302,0.84781,0.61865,1.47117,0.89621,0.76667,0.88054,0.44187,1.62687,1.10471,2.07462,0.000240644,0.000240644,0.000240644
44,344984,0.84003,0.60333,1.45774,0.84048,0.85,0.88149,0.49079,1.47355,1.13946,1.95739,0.000212349,0.000212349,0.000212349
45,348801,0.80978,0.58109,1.42307,0.95245,0.88852,0.93958,0.50417,1.58146,0.96245,2.04815,0.000184055,0.000184055,0.000184055
46,349580,0.81249,0.55863,1.41082,0.89874,0.80241,0.88329,0.48516,1.55824,1.11971,2.01683,0.000155761,0.000155761,0.000155761
47,350602,0.80692,0.5386,1.42596,0.89702,0.82152,0.87842,0.4837,1.62163,1.04931,2.11706,0.000127467,0.000127467,0.000127467
48,351393,0.8176,0.54127,1.42667,0.90004,0.88335,0.89789,0.49829,1.55172,1.02629,2.01845,9.91726e-05,9.91726e-05,9.91726e-05
49,351967,0.79207,0.52519,1.40235,0.89013,0.87778,0.90465,0.49815,1.56094,1.06787,2.00523,7.08784e-05,7.08784e-05,7.08784e-05
50,352511,0.76569,0.51337,1.38018,0.9025,0.88631,0.90328,0.50837,1.57947,1.03048,2.02848,4.25842e-05,4.25842e-05,4.25842e-05
